symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
AXSBUSD,-0.17000000,-3.564,4.69025079,4.77000000,4.60000000,1.13000000,4.60000000,1677.38000000,4.61000000,102.73000000,4.77000000,4.78000000,4.52000000,84205.44000000,394944.63150000,1694862117257,1694948517257,28043647,28046564,2918
AXSUSDT,-0.16000000,-3.354,4.68068930,4.78000000,4.61000000,1.13000000,4.60000000,9035.98000000,4.61000000,4750.34000000,4.77000000,4.79000000,4.52000000,1161487.98000000,5436564.36510000,1694862178603,1694948578603,126505335,126525910,20576
HARDBNB,0.00001700,3.498,0.00049230,0.00048100,0.00050300,608.00000000,0.00049700,4915.00000000,0.00050100,1320.00000000,0.00048600,0.00050600,0.00048400,28944.00000000,14.24926000,1694862133706,1694948533706,1165039,1165069,31
HARDBTC,0.00000012,3.069,0.00000400,0.00000389,0.00000403,39.00000000,0.00000403,533.00000000,0.00000405,25.00000000,0.00000391,0.00000410,0.00000390,143833.00000000,0.57513098,1694862176674,1694948576674,4555534,4558247,2714
HARDBUSD,0.00510000,4.937,0.10566757,0.10290000,0.10840000,234.00000000,0.10700000,1868.00000000,0.10840000,1972.00000000,0.10330000,0.10880000,0.10330000,201118.00000000,21251.64940000,1694862179144,1694948579144,4935658,4935849,192
HARDUSDT,0.00400000,3.865,0.10631644,0.10330000,0.10750000,3230.00000000,0.10720000,124.00000000,0.10740000,5801.00000000,0.10350000,0.10930000,0.10320000,6049137.00000000,643122.68870000,1694862161558,1694948561558,22373701,22379747,6047
BNBBRL,6.00000000,0.572,1051.50112007,1050.00000000,1055.00000000,0.01900000,1055.00000000,4.14900000,1056.00000000,4.65100000,1049.00000000,1057.00000000,1045.00000000,734.77600000,772617.78700000,1694862180500,1694948580500,11480561,11482795,2235
LTCEUR,-0.90000000,-1.471,60.53170293,61.18000000,60.30000000,0.32600000,60.28000000,1.92500000,60.30000000,18.94900000,61.20000000,61.39000000,59.60000000,7900.44400000,478227.32923000,1694862165209,1694948565209,9512054,9516741,4688
RENBTCBTC,0.00000000,0.000,0.00000000,0.99310000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043806,1689661443806,-1,-1,0
RENBTCETH,0.00000000,0.000,0.00000000,16.29900000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043806,1689661443806,-1,-1,0
DNTBUSD,0.00000000,0.000,0.00000000,0.03600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043806,1689661443806,-1,-1,0
DNTUSDT,0.00000000,0.000,0.00000000,0.03600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043806,1689661443806,-1,-1,0
SLPETH,0.00000000,0.000,0.00000085,0.00000085,0.00000085,9844.00000000,0.00000084,2045258.00000000,0.00000085,1507252.00000000,0.00000085,0.00000086,0.00000084,12159612.00000000,10.32943241,1694862160649,1694948560649,9901786,9902015,230
ADAEUR,-0.00060000,-0.255,0.23419018,0.23530000,0.23460000,298.80000000,0.23440000,32988.90000000,0.23450000,89.10000000,0.23520000,0.23600000,0.23190000,451390.50000000,105711.22131000,1694862135245,1694948535245,24020359,24021627,1269
LTCNGN,0.00000000,0.000,0.00000000,78132.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043806,1689661443806,-1,-1,0
CVPETH,0.00000000,0.000,0.00000000,0.00032000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043806,1689661443806,-1,-1,0
CVPBUSD,0.00650000,2.327,0.28516400,0.27830000,0.28580000,75.00000000,0.28580000,78.60000000,0.28700000,44.40000000,0.27930000,0.29100000,0.27600000,123259.70000000,35149.22947000,1694862035612,1694948435612,8954964,8955762,799
STRAXBTC,-0.00000169,-9.389,0.00001699,0.00001803,0.00001631,80.30000000,0.00001626,40.30000000,0.00001627,208.20000000,0.00001800,0.00001800,0.00001624,120727.00000000,2.05156602,1694862176731,1694948576731,4179778,4182807,3030
STRAXETH,0.00000000,0.000,0.00000000,0.00031880,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043806,1689661443806,-1,-1,0
STRAXBUSD,0.00000000,0.000,0.46912205,0.47200000,0.47100000,38.70000000,0.00000000,0.00000000,0.00000000,0.00000000,0.47100000,0.47500000,0.46300000,15330.90000000,7192.06330000,1691031626832,1691118026832,2952791,2952857,67
STRAXUSDT,-0.04500000,-9.414,0.45283008,0.47800000,0.43300000,3191.60000000,0.43200000,259.70000000,0.43300000,931.40000000,0.47800000,0.47800000,0.43000000,1515277.80000000,686163.37000000,1694862172162,1694948572162,13056717,13063802,7086
FORBTC,-0.00000002,-3.077,0.00000065,0.00000065,0.00000063,4252.00000000,0.00000063,616510.00000000,0.00000064,201479.00000000,0.00000065,0.00000068,0.00000062,12069879.00000000,7.82551360,1694862063370,1694948463370,3352927,3353601,675
FORBUSD,-0.00017000,-0.988,0.01716093,0.01720000,0.01703000,5871.90000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01720000,0.01750000,0.01686000,553742.40000000,9502.73497700,1692846006378,1692932406378,13204794,13204911,118
UNFIBNB,0.00000000,0.000,0.00000000,0.02654000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043806,1689661443806,-1,-1,0
UNFIBTC,-0.00002980,-9.472,0.00030599,0.00031450,0.00028480,1.80000000,0.00028420,63.20000000,0.00028470,69.80000000,0.00031460,0.00031960,0.00028480,6577.00000000,2.01250747,1694862181247,1694948581247,6686746,6687659,914
UNFIBUSD,-0.81000000,-9.668,8.14041517,8.35200000,7.56800000,2.10000000,7.56300000,13.20000000,7.61100000,15.50000000,8.37800000,8.46900000,7.56800000,17790.50000000,144822.05600000,1694862181034,1694948581034,9073652,9074887,1236
UNFIUSDT,-0.79500000,-9.513,8.13222480,8.35700000,7.56200000,14.80000000,7.56100000,6.00000000,7.56200000,63.30000000,8.35700000,8.48000000,7.55900000,807174.60000000,6564125.29810000,1694862182661,1694948582661,51953526,51998862,45337
FRONTETH,0.00000000,0.000,0.00000000,0.00033040,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043806,1689661443806,-1,-1,0
FRONTBUSD,0.06150000,35.467,0.22370197,0.17300000,0.23490000,52.00000000,0.23480000,68.00000000,0.23530000,849.00000000,0.17340000,0.26910000,0.17070000,17660927.00000000,3950784.08570000,1694862180465,1694948580465,16681824,16715386,33563
BCHABUSD,0.00000000,0.000,0.00000000,43.64100000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043806,1689661443806,-1,-1,0
ROSEBTC,-0.00000002,-1.290,0.00000152,0.00000155,0.00000153,6476.00000000,0.00000152,447135.00000000,0.00000153,34826.00000000,0.00000155,0.00000155,0.00000151,903395.00000000,1.37661853,1694862173311,1694948573311,9669942,9670858,917
ROSEBUSD,-0.00051000,-1.239,0.04047580,0.04119000,0.04066000,506.50000000,0.04065000,1100.00000000,0.04070000,635.70000000,0.04117000,0.04122000,0.03985000,2220170.70000000,89863.18708400,1694862120742,1694948520742,28174976,28175715,740
ROSEUSDT,-0.00052000,-1.263,0.04051450,0.04117000,0.04065000,18118.20000000,0.04065000,67062.80000000,0.04066000,9494.90000000,0.04117000,0.04121000,0.03983000,36684556.10000000,1486256.31339000,1694862181715,1694948581715,86146349,86158656,12308
AVAXTRY,-4.40000000,-1.715,253.43416244,256.60000000,252.20000000,4.00000000,252.20000000,16.29000000,252.30000000,1.83000000,256.60000000,257.40000000,249.00000000,47664.86000000,12079903.87200000,1694862159872,1694948559872,26326670,26329966,3297
BUSDBRL,0.01500000,0.306,4.90505111,4.89500000,4.91000000,5.60000000,4.90800000,984.30000000,4.91000000,195.50000000,4.89500000,4.91200000,4.89300000,130893.20000000,642037.83550000,1694862064569,1694948464569,14255661,14256412,752
AVAUSDT,0.00800000,1.758,0.45529279,0.45500000,0.46300000,297.80000000,0.46200000,215.50000000,0.46300000,587.10000000,0.45500000,0.46400000,0.44800000,534804.40000000,243492.59000000,1694862177678,1694948577678,12900935,12905814,4880
SYSBUSD,-0.00170000,-1.932,0.08693754,0.08880000,0.08630000,174.00000000,0.08620000,2558.00000000,0.08670000,2314.00000000,0.08800000,0.08850000,0.08520000,76195.00000000,6624.20580000,1694861994580,1694948394580,10799578,10799671,94
XEMUSDT,-0.00056000,-2.136,0.02574010,0.02621000,0.02566000,1327.00000000,0.02567000,713.00000000,0.02570000,736.00000000,0.02622000,0.02622000,0.02539000,8409593.00000000,216463.76526000,1694862182093,1694948582093,36255430,36258631,3202
HEGICETH,0.00000000,0.000,0.00000000,0.00001647,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043806,1689661443806,-1,-1,0
HEGICBUSD,0.00000000,0.000,0.00000000,0.02120000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043806,1689661443806,-1,-1,0
AAVEUPUSDT,0.00000000,0.000,0.00000000,0.60080000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043806,1689661443806,-1,-1,0
AAVEDOWNUSDT,0.00000000,0.000,0.00000000,0.00467300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043806,1689661443806,-1,-1,0
PROMBNB,0.00000000,0.000,0.00000000,0.01443000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043806,1689661443806,-1,-1,0
